country,year,net,totalNet
Saudi Arabia,1979,-12014220,-3179338414
Saudi Arabia,1973,-65097,-3179338414
Saudi Arabia,2008,-348667,-3179338414
Saudi Arabia,2010,-352548,-3179338414
Saudi Arabia,2009,-327156,-3179338414
Saudi Arabia,2011,-282125,-3179338414
Hungary,2005,254145,-2925002939
Hungary,2007,-18986,-2925002939
Hungary,2008,67660,-2925002939
Hungary,1993,-322532354,-2925002939
Hungary,1985,-31296368,-2925002939
Hungary,1990,-315616677,-2925002939
Hungary,1991,-624227866,-2925002939
Hungary,1992,-179864578,-2925002939
Hungary,1994,-393976481,-2925002939
Hungary,1995,-330369147,-2925002939
Hungary,1996,-349275403,-2925002939
Hungary,1997,-53047029,-2925002939
Hungary,2000,-29607289,-2925002939
Hungary,2001,-71227382,-2925002939
Hungary,2004,-53861240,-2925002939
Hungary,2002,-46184177,-2925002939
Hungary,1998,-27853171,-2925002939
Hungary,2003,-68595560,-2925002939
Hungary,1999,-26274654,-2925002939
Hungary,1989,-1482250,-2925002939
Hungary,2010,-14132,-2925002939
Czech Republic,1996,-30399978,-2132982906
Czech Republic,2009,397563,-2132982906
Czech Republic,2008,230219,-2132982906
Czech Republic,2003,-45360370,-2132982906
Czech Republic,2005,73100,-2132982906
Czech Republic,2001,-64851437,-2132982906
Czech Republic,1997,-98402219,-2132982906
Czech Republic,2006,918070,-2132982906
Czech Republic,2002,-60314687,-2132982906
Czech Republic,2011,164099,-2132982906
Czech Republic,2012,165238,-2132982906
Czech Republic,2013,123152,-2132982906
Czech Republic,1993,-170159661,-2132982906
Czech Republic,1994,-487593167,-2132982906
Czech Republic,1992,-212986243,-2132982906
Czech Republic,2000,-145892164,-2132982906
Czech Republic,1999,-82522618,-2132982906
Czech Republic,1998,-120505911,-2132982906
Czech Republic,1991,-392264026,-2132982906
Czech Republic,1995,-182015721,-2132982906
Czech Republic,2004,-41237106,-2132982906
Czech Republic,1990,-549039,-2132982906
Cyprus,2005,5599,-968149348
Cyprus,1993,-42046495,-968149348
Cyprus,1992,-29261936,-968149348
Cyprus,1988,-60836704,-968149348
Cyprus,1986,-56716357,-968149348
Cyprus,1984,-79282641,-968149348
Cyprus,1983,-51405078,-968149348
Cyprus,1980,-87110643,-968149348
Cyprus,1977,-20945184,-968149348
Cyprus,1991,-24108788,-968149348
Cyprus,2007,-4469,-968149348
Cyprus,1996,-17809922,-968149348
Cyprus,1995,-1233692,-968149348
Cyprus,1999,-19380977,-968149348
Cyprus,2000,-5189473,-968149348
Cyprus,1998,-563689,-968149348
Cyprus,2003,-9421124,-968149348
Cyprus,2001,-26263860,-968149348
Cyprus,2004,-24632806,-968149348
Cyprus,1997,-9602634,-968149348
Cyprus,2002,-23150596,-968149348
Cyprus,1985,-39214175,-968149348
Cyprus,1987,-29088415,-968149348
Cyprus,1994,-46104382,-968149348
Cyprus,1990,-11768247,-968149348
Cyprus,1979,-15837039,-968149348
Cyprus,1982,-31348629,-968149348
Cyprus,1974,-16432279,-968149348
Cyprus,1981,-110234644,-968149348
Cyprus,1976,-31022257,-968149348
Cyprus,1973,-9613414,-968149348
Cyprus,1978,-46647,-968149348
Cyprus,1975,-5864941,-968149348
Cyprus,1989,-32612810,-968149348
Slovak Republic,2005,326093,-820800049
Slovak Republic,2009,14202,-820800049
Slovak Republic,2010,14132,-820800049
Slovak Republic,2013,41147,-820800049
Slovak Republic,2001,-52945385,-820800049
Slovak Republic,1995,-75586685,-820800049
Slovak Republic,1996,-120767538,-820800049
Slovak Republic,2000,-24767414,-820800049
Slovak Republic,2002,-35860783,-820800049
Slovak Republic,1998,-22763026,-820800049
Slovak Republic,2004,-33775543,-820800049
Slovak Republic,2003,-41479968,-820800049
Slovak Republic,1999,-132187615,-820800049
Slovak Republic,1997,-219387257,-820800049
Slovak Republic,1994,-52553361,-820800049
Slovak Republic,1993,-9121048,-820800049
Ireland,2009,21707708,-639494271
Ireland,2007,28202952,-639494271
Ireland,2008,34965187,-639494271
Ireland,2001,-161831447,-639494271
Ireland,2004,23980282,-639494271
Ireland,2003,27083746,-639494271
Ireland,2006,28942598,-639494271
Ireland,2000,-163369285,-639494271
Ireland,2002,-249268960,-639494271
Ireland,2005,28639372,-639494271
Ireland,2010,15971582,-639494271
Ireland,2011,16164777,-639494271
Ireland,2012,14021437,-639494271
Ireland,2013,11285184,-639494271
Ireland,1999,-174812788,-639494271
Ireland,1980,-30268231,-639494271
Ireland,1990,-46238132,-639494271
Ireland,1991,-6065209,-639494271
Ireland,1981,-58605044,-639494271
Qatar,2007,104519053,-629264696
Qatar,1997,-705173409,-629264696
Qatar,1993,-9564499,-629264696
Qatar,1988,-9137956,-629264696
Qatar,1995,-346430,-629264696
Qatar,1999,-491169,-629264696
Qatar,1998,-582329,-629264696
Qatar,2000,-673904,-629264696
Qatar,2004,-1458916,-629264696
Qatar,2003,-324759,-629264696
Qatar,1996,-836714,-629264696
Qatar,2001,-771977,-629264696
Qatar,2002,-220245,-629264696
Qatar,1994,-1252342,-629264696
Qatar,1989,-2949100,-629264696
Lithuania,1996,-89026730,-514143270
Lithuania,1995,-83881095,-514143270
Lithuania,1998,-61227246,-514143270
Lithuania,2001,-30635613,-514143270
Lithuania,2003,-33181470,-514143270
Lithuania,2002,-25362242,-514143270
Lithuania,2004,-30341902,-514143270
Lithuania,1999,-12053667,-514143270
Lithuania,2000,-16836580,-514143270
Lithuania,1997,-20435390,-514143270
Lithuania,1994,-28739967,-514143270
Lithuania,1992,-8257205,-514143270
Lithuania,1993,-73709134,-514143270
Lithuania,1991,-455029,-514143270
Greece,2009,2070017,-486710721
Greece,2008,2542149,-486710721
Greece,2007,3082200,-486710721
Greece,2005,3084323,-486710721
Greece,2006,2803352,-486710721
Greece,2004,875060,-486710721
Greece,2003,9823209,-486710721
Greece,2002,3051811,-486710721
Greece,2010,2151692,-486710721
Greece,2011,1740617,-486710721
Greece,2012,1220624,-486710721
Greece,2013,222131,-486710721
Greece,1981,-26046686,-486710721
Greece,1991,-303412067,-486710721
Greece,1988,-37727914,-486710721
Greece,1980,-115371982,-486710721
Greece,1985,-36819257,-486710721
Luxembourg,2009,9324881,-443485810
Luxembourg,2007,8883735,-443485810
Luxembourg,2008,9669591,-443485810
Luxembourg,2006,9045047,-443485810
Luxembourg,2005,13121625,-443485810
Luxembourg,2004,10034092,-443485810
Luxembourg,2001,4867259,-443485810
Luxembourg,2002,-129423862,-443485810
Luxembourg,2003,830472,-443485810
Luxembourg,2010,9812280,-443485810
Luxembourg,2011,9920871,-443485810
Luxembourg,2012,8502699,-443485810
Luxembourg,2013,7645306,-443485810
Luxembourg,1993,-415719806,-443485810
Latvia,1992,-106443347,-423495040
Latvia,1995,-39008900,-423495040
Latvia,1998,-46078691,-423495040
Latvia,2001,-22714406,-423495040
Latvia,2003,-15787761,-423495040
Latvia,2000,-14205663,-423495040
Latvia,2004,-15622106,-423495040
Latvia,2002,-23562554,-423495040
Latvia,1996,-25044880,-423495040
Latvia,1997,-22485213,-423495040
Latvia,1999,-10570801,-423495040
Latvia,1994,-28380386,-423495040
Latvia,1993,-52648796,-423495040
Latvia,1991,-398476,-423495040
Latvia,1990,-543060,-423495040
