country,year,net
Brazil,2006,-473262403
Colombia,2003,-1086177861
Colombia,2005,-1056910201
Colombia,2004,-951773147
Slovenia,2007,-105426
South Africa,2006,-853103554
Slovenia,2006,-74572
Poland,1999,-377114427
Thailand,1978,-859278853
India,2009,-3706828324
Thailand,2009,-1038513059
Colombia,2009,-1279008966
Brazil,2009,-783901399
South Africa,2009,-1281799284
India,2006,-4144135136
Saudi Arabia,2006,-14209342
Thailand,2006,-475487975
India,2007,-5386224705
Saudi Arabia,2007,-16462193
India,2008,-5044559917
Thailand,2008,-938244893
Brazil,2004,-646604536
South Africa,1998,-666789364
India,2004,-2884182630
Thailand,2004,-722232350
India,2003,-2616814261
Brazil,2005,-723697976
South Africa,2004,-540700003
Thailand,2005,-750726362
Thailand,2003,-289796785
South Africa,2005,-927379768
